Date;M1M;M3M;M6M;M9M;M1Y;M2Y;M3Y;M4Y;M5Y;M6Y;M7Y;M8Y;M9Y;M10Y;M11Y;M12Y
18.03.2004;2.0942;2.0844;2.0272;2.0175;2.0414;2.3111;2.6399;2.9562;3.2287;3.4684;3.6829;3.8675;4.0236;4.1542;4.2671;4.3707
25.03.2004;2.0756;2.0319;1.9547;1.9373;1.9564;2.2381;2.5646;2.8815;3.1589;3.4091;3.6357;3.8292;3.9933;4.1322;4.2495;4.3579
01.04.2004;2.0695;2.0021;2.0127;2.0294;2.0717;2.3766;2.7148;3.0278;3.2975;3.5386;3.7535;3.9396;4.0972;4.2318;4.3488;4.4512
08.04.2004;2.1005;2.0803;2.0606;2.0813;2.1312;2.4694;2.824;3.1416;3.4138;3.6508;3.8661;4.0502;4.2047;4.3336;4.4458;4.5447
15.04.2004;2.1015;2.0958;2.1056;2.1519;2.2242;2.6151;2.9733;3.2911;3.5596;3.7883;3.9928;4.1658;4.3148;4.4392;4.5444;4.6386
22.04.2004;2.1025;2.104;2.1091;2.148;2.2147;2.601;2.9613;3.278;3.5475;3.7806;3.985;4.1615;4.3117;4.436;4.5398;4.6327
29.04.2004;2.1045;2.1173;2.1361;2.1868;2.2613;2.6613;3.0269;3.3353;3.5963;3.823;4.022;4.194;4.3396;4.4604;4.5645;4.6549
06.05.2004;2.1056;2.1194;2.1549;2.2184;2.3022;2.7064;3.0691;3.3797;3.643;3.8699;4.0702;4.2412;4.3882;4.5117;4.6159;4.7092
13.05.2004;2.1118;2.139;2.1946;2.2809;2.3865;2.8485;3.2238;3.5379;3.7974;4.0136;4.2018;4.3639;4.503;4.6184;4.7154;4.804
20.05.2004;2.1108;2.1369;2.1858;2.2654;2.3652;2.8203;3.2008;3.5148;3.7742;3.9925;4.183;4.3473;4.4863;4.6015;4.7011;4.7896
27.05.2004;2.1116;2.139;2.1901;2.2726;2.3705;2.8192;3.2028;3.5148;3.773;3.9925;4.1829;4.3448;4.4839;4.5993;4.7015;4.7871
03.06.2004;2.1233;2.1421;2.1968;2.2819;2.3864;2.8404;3.2178;3.5329;3.7923;4.0097;4.1967;4.3576;4.4942;4.6096;4.708;4.7938
10.06.2004;2.1274;2.1482;2.2012;2.288;2.396;2.8575;3.2359;3.5491;3.8064;4.0237;4.212;4.3705;4.506;4.6203;4.7187;4.8032
17.06.2004;2.1315;2.1688;2.2449;2.3623;2.4944;2.9944;3.3627;3.6484;3.8801;4.0756;4.246;4.3886;4.5088;4.6098;4.6986;4.7758
24.06.2004;2.1243;2.1688;2.2226;2.3115;2.4195;2.8643;3.2231;3.5139;3.7517;3.9547;4.1339;4.2842;4.4124;4.5205;4.6139;4.6945
01.07.2004;2.1232;2.1627;2.2144;2.3031;2.4103;2.8675;3.247;3.5473;3.7895;3.9935;4.1681;4.3185;4.4456;4.5524;4.6433;4.7254
08.07.2004;2.1242;2.1606;2.2;2.2679;2.3547;2.7687;3.1284;3.4243;3.6694;3.8798;4.0632;4.218;4.3494;4.4609;4.5552;4.6408
15.07.2004;2.1242;2.1616;2.2176;2.2945;2.3882;2.8129;3.1727;3.4645;3.7054;3.9093;4.0882;4.2408;4.3701;4.4792;4.5737;4.6582
22.07.2004;2.1273;2.1668;2.2249;2.3015;2.3942;2.8087;3.1675;3.4593;3.7002;3.9052;4.0865;4.2367;4.3659;4.4737;4.567;4.6488
29.07.2004;2.1242;2.1647;2.2326;2.3234;2.4305;2.8723;3.2239;3.5083;3.743;3.9426;4.1195;4.2664;4.391;4.4953;4.5862;4.6656
05.08.2004;2.1262;2.1627;2.2049;2.2651;2.3448;2.7332;3.0815;3.3637;3.5979;3.8015;3.9814;4.1325;4.2615;4.369;4.4607;4.5423
12.08.2004;2.1273;2.1606;2.1904;2.2385;2.3066;2.6678;2.9994;3.2783;3.5134;3.7224;3.9042;4.0575;4.1885;4.2996;4.3948;4.4788
19.08.2004;2.1284;2.1606;2.1884;2.236;2.3026;2.6536;2.9821;3.2642;3.5036;3.7136;3.8988;4.0555;4.1889;4.3011;4.3976;4.4814
26.08.2004;2.1262;2.1627;2.1976;2.2496;2.3199;2.6737;3.0002;3.277;3.5131;3.7194;3.9011;4.0555;4.1877;4.2987;4.395;4.4799
02.09.2004;2.1243;2.1576;2.2146;2.276;2.3488;2.6916;3.0119;3.2856;3.5187;3.7234;3.9042;4.0598;4.1922;4.3045;4.4011;4.4851
09.09.2004;2.1243;2.1627;2.234;2.3143;2.4054;2.773;3.0728;3.3235;3.5395;3.7312;3.9054;4.0544;4.1798;4.285;4.3767;4.4558
16.09.2004;2.1274;2.1627;2.2457;2.3338;2.426;2.786;3.0796;3.3271;3.54;3.7295;3.8981;4.0448;4.1691;4.2731;4.3649;4.4466
23.09.2004;2.1294;2.1627;2.2297;2.3025;2.3779;2.6932;2.9681;3.2072;3.4177;3.608;3.7786;3.9261;4.0524;4.1573;4.2475;4.3289
30.09.2004;2.1293;2.1977;2.2546;2.3274;2.4059;2.7212;2.9993;3.2427;3.4565;3.648;3.8221;3.9732;4.1008;4.2082;4.301;4.3825
07.10.2004;2.1345;2.1977;2.2564;2.3317;2.4126;2.7414;3.0278;3.2722;3.4872;3.682;3.8562;4.0062;4.1339;4.2414;4.3317;4.4119
14.10.2004;2.1334;2.1946;2.2264;2.2698;2.3235;2.5965;2.8672;3.1167;3.3366;3.5355;3.7147;3.8689;4.0008;4.1114;4.2063;4.2899
21.10.2004;2.1386;2.1925;2.219;2.2554;2.3015;2.5593;2.8227;3.0722;3.2974;3.5005;3.6841;3.8427;3.9781;4.091;4.1882;4.2743
28.10.2004;2.1408;2.1998;2.239;2.2864;2.3381;2.5933;2.8651;3.1136;3.3346;3.5334;3.7115;3.8668;3.9999;4.113;4.2092;4.2927
04.11.2004;2.1574;2.209;2.2437;2.2854;2.331;2.565;2.8213;3.0561;3.2717;3.4704;3.6507;3.8082;3.9423;4.0565;4.1524;4.2398
11.11.2004;2.1512;2.2204;2.2569;2.2983;2.3423;2.5587;2.8017;3.0324;3.2447;3.4412;3.6214;3.7789;3.9154;4.0307;4.1266;4.2139
18.11.2004;2.1553;2.2245;2.28;2.3354;2.391;2.6189;2.8537;3.0772;3.28;3.4657;3.6326;3.7799;3.9107;4.0214;4.1163;4.2
25.11.2004;2.1666;2.2246;2.2402;2.2688;2.3035;2.5035;2.7392;2.9603;3.1671;3.3557;3.5278;3.6805;3.8132;3.9248;4.0204;4.1037
02.12.2004;2.2172;2.2205;2.2486;2.2912;2.3388;2.5638;2.8047;3.0333;3.2414;3.4268;3.5969;3.7487;3.8781;3.9874;4.0808;4.1617
09.12.2004;2.2183;2.2184;2.2246;2.2488;2.28;2.4561;2.664;2.8663;3.057;3.2367;3.4007;3.5428;3.6718;3.7819;3.8762;3.958
16.12.2004;2.2266;2.2235;2.2363;2.2707;2.3082;2.4943;2.7063;2.895;3.0676;3.2267;3.3753;3.505;3.6188;3.7172;3.8031;3.8788
23.12.2004;2.2266;2.2265;2.2522;2.2983;2.3479;2.5658;2.7592;2.9323;3.0912;3.244;3.3962;3.5307;3.647;3.7455;3.8302;3.9048
30.12.2004;2.181;2.206;2.246;2.3051;2.3679;2.6182;2.8344;3.0179;3.1832;3.3383;3.4862;3.6197;3.7328;3.8302;3.9152;3.9913
06.01.2005;2.1666;2.1977;2.2322;2.285;2.344;2.5891;2.7929;2.9701;3.129;3.2829;3.4307;3.5641;3.6782;3.7768;3.8629;3.9376
13.01.2005;2.1573;2.1916;2.2205;2.262;2.3099;2.5297;2.7273;2.9014;3.0612;3.2139;3.3604;3.4936;3.6099;3.7107;3.7953;3.8711
20.01.2005;2.1583;2.1916;2.2292;2.2816;2.3405;2.578;2.7828;2.9569;3.1136;3.2588;3.3942;3.5174;3.6269;3.7219;3.8019;3.8716
27.01.2005;2.1575;2.1918;2.2254;2.2755;2.336;2.5903;2.8012;2.9783;3.1358;3.2807;3.4138;3.5346;3.6417;3.7354;3.8141;3.8811
03.02.2005;2.1553;2.1916;2.2276;2.2775;2.3372;2.5902;2.7991;2.9721;3.1267;3.2653;3.3952;3.5127;3.6153;3.7032;3.7772;3.8395
10.02.2005;2.1553;2.1874;2.2129;2.2539;2.3059;2.542;2.7343;2.8948;3.0376;3.1696;3.2928;3.4034;3.5035;3.5913;3.6628;3.7225
17.02.2005;2.1533;2.1823;2.217;2.2689;2.334;2.6045;2.8195;2.9935;3.146;3.2846;3.4146;3.5344;3.637;3.7249;3.8002;3.8625
24.02.2005;2.1521;2.1833;2.2317;2.2907;2.362;2.6538;2.8868;3.0824;3.252;3.4059;3.5468;3.6728;3.7837;3.879;3.9592;4.0274
03.03.2005;2.1521;2.1822;2.2235;2.2792;2.3474;2.6439;2.883;3.089;3.2672;3.4266;3.572;3.7024;3.8168;3.9156;3.9973;4.0693
10.03.2005;2.1531;2.1812;2.2136;2.2657;2.3328;2.6187;2.8579;3.0754;3.2653;3.4334;3.5842;3.7203;3.8393;3.9404;4.0257;4.0989
17.03.2005;2.1542;2.1833;2.2208;2.2822;2.3549;2.6468;2.8705;3.0535;3.2178;3.3674;3.5073;3.6343;3.7451;3.8403;3.9208;3.9929
24.03.2005;2.1543;2.1905;2.2548;2.3298;2.4131;2.7282;2.9492;3.1255;3.2804;3.4247;3.5547;3.6728;3.7793;3.8723;3.9517;4.0215
31.03.2005;2.1553;2.1946;2.238;2.2934;2.3603;2.6336;2.8388;3.0133;3.1702;3.3176;3.453;3.5777;3.6885;3.7836;3.8641;3.9348
07.04.2005;2.1563;2.1936;2.2197;2.2606;2.3131;2.554;2.748;2.9267;3.0855;3.2371;3.3756;3.5057;3.6209;3.7206;3.8057;3.8825
14.04.2005;2.1553;2.1843;2.208;2.2448;2.2936;2.531;2.7342;2.9138;3.0758;3.2263;3.3669;3.4958;3.611;3.7094;3.7945;3.8713
21.04.2005;2.1543;2.1802;2.1947;2.2221;2.2635;2.4847;2.69;2.8727;3.0389;3.1947;3.3419;3.474;3.5926;3.6968;3.7842;3.8607
28.04.2005;2.1552;2.175;2.1735;2.1841;2.2097;2.4023;2.5953;2.7737;2.9354;3.0899;3.2347;3.3677;3.4871;3.591;3.6769;3.7544
05.05.2005;2.1552;2.173;2.1668;2.1718;2.192;2.3762;2.562;2.7487;2.9179;3.0788;3.2323;3.372;3.4936;3.5998;3.6892;3.7692
12.05.2005;2.1552;2.173;2.1721;2.1828;2.2062;2.3892;2.5719;2.7472;2.9079;3.0569;3.1938;3.3188;3.4335;3.5339;3.6197;3.6948
19.05.2005;2.1531;2.1719;2.1732;2.1879;2.216;2.4053;2.588;2.757;2.9113;3.056;3.1886;3.3114;3.4215;3.5184;3.6019;3.6745
26.05.2005;2.1542;2.1719;2.1667;2.1718;2.1892;2.3408;2.5143;2.6854;2.847;3.0005;3.1439;3.2731;3.3887;3.4912;3.578;3.6553
02.06.2005;2.1543;2.1616;2.143;2.1334;2.1363;2.2543;2.4207;2.5928;2.7553;2.905;3.0427;3.1695;3.2837;3.3848;3.4715;3.5486
09.06.2005;2.1543;2.1596;2.1358;2.1142;2.1034;2.1829;2.3371;2.5017;2.6556;2.8019;2.9373;3.0616;3.1744;3.2729;3.3569;3.4314
16.06.2005;2.1543;2.1627;2.1508;2.1434;2.1525;2.3047;2.4854;2.6627;2.8232;2.973;3.1142;3.2446;3.3602;3.4614;3.5483;3.6256
23.06.2005;2.1532;2.1482;2.1134;2.0843;2.0717;2.168;2.3365;2.5115;2.6727;2.8233;2.963;3.0918;3.2081;3.3089;3.3953;3.4734
30.06.2005;2.1542;2.1524;2.12;2.0903;2.077;2.1599;2.3243;2.492;2.6501;2.7996;2.9382;3.0658;3.182;3.2839;3.3728;3.4521
07.07.2005;2.1552;2.1606;2.1407;2.1341;2.1416;2.2644;2.4195;2.577;2.7279;2.8723;3.0089;3.1335;3.2477;3.3499;3.4366;3.5137
